"","x"
"543",2.0697258596414
"544",2.09331352414882
"545",2.10934349804908
"546",2.11584289197163
"547",2.12718336143034
"548",2.15667772819206
"549",2.18868963762196
"550",2.22273376955778
"551",2.25219264395856
"552",2.2786170900366
"553",2.2970774876357
"554",2.30078896339256
"555",2.28743367631868
"556",2.25331440965967
"557",2.23201119527738
"558",2.22835593924655
"559",2.2376039881981
"560",2.2470831758275
"561",2.24995017409502
"562",2.26927580120079
"563",2.29562528880674
"564",2.32800059661731
"565",2.36935240493386
"566",2.4103942328137
"567",2.44565022353151
"568",2.46077846740629
"569",2.47560719333813
"570",2.48591551055404
"571",2.49254468906004
"572",2.48878315835817
"573",2.48279830647011
"574",2.47187933094818
"575",2.45779935340212
"576",2.44323187235291
"577",2.42870910225172
"578",2.42364977465683
"579",2.42403190410153
"580",2.43128897250046
"581",2.43452317940769
"582",2.43593440512213
"583",2.43028199607565
"584",2.42255421322014
"585",2.42156730339029
"586",2.41481691039747
"587",2.40843110489079
"588",2.40421304281325
"589",2.41889747521589
"590",2.44352735791605
"591",2.46166533218644
"592",2.47730430225618
"593",2.47035296191407
"594",2.44053177026844
"595",2.41584257064918
"596",2.39724389165209
"597",2.3599506491696
"598",2.3177146287102
"599",2.27913983661524
"600",2.24855394080773
"601",2.22041428353909
"602",2.20456936008874
"603",0
"604",-0.0197159291803058
"605",0.00250210127928762
"606",0.00645950763661714
"607",0.00584522760982913
"608",0.0306650983468765
"609",0.0480294540905375
"610",0.0101327796817859
"611",-0.00283966806617907
"612",0.0120787285472943
"613",0.018566839464763
"614",0.0236935148488976
"615",-0.000324161837491339
"616",-0.0086943015743602
"617",-0.0301792586208492
"618",-0.0674220411195487
"619",-0.0893489418918007
"620",-0.0973324605851526
"621",-0.102067060495958
"622",-0.103285080509391
"623",-0.0733748535438699
"624",-0.0175530458684771
"625",0.0500176128452688
"626",0.0908029148815756
"627",0.111837001324742
"628",0.116062688822706
"629",0.115862360930027
"630",0.15853018190786
"631",0.211377420113019
"632",0.231948384442956
"633",0.266483009276417
"634",0.293519547097176
"635",0.325192275451726
"636",0.306943136009049
"637",0.312239781533271
"638",0.379231639274771
"639",0.422162178179675
"640",0.491503118002875
"641",0.538414032554963
"642",0.559890958426009
"643",0.649078401336675
"644",0.72013242713554
"645",0.763651263582878
"646",0.806818541950878
"647",0.862561958844925
"648",0.897938187814367
"649",0.916617527957525
"650",0.900452296836165
"651",0.88137786740816
"652",0.798372207722873
"653",0.742508946779328
"654",0.664509040279076
"655",0.612113837761594
"656",0.535767467396112
"657",0.490748940702817
"658",0.43754778812788
"659",0.446551579045502
"660",0.490178050494058
"661",0.502228254271873
"662",0.54529780278237
"663",0.609397812577719
"664",0.665854902176007
"665",0.713450649853226
"666",0.759608752915112
"667",0.816739308967711
"668",0.864967355182743
"669",0.87999786850551
"670",0.892786372828377
"671",0.952131672278371
"672",0.995528767567393
"673",1.0186171207967
"674",0.982551505593433
"675",0.95501714866942
"676",0.979950078862708
"677",0.983404762259015
"678",0.979711719228414
"679",0.969232318441922
"680",0.96994347959819
"681",0.996715355853414
"682",0.9805232805273
"683",0.947837615013134
"684",0.914833955909239
"685",0.917720292397991
"686",0.935202104322236
"687",0.906317761740566
"688",0.869508005037524
"689",0.824379713222822
"690",0.807053810894116
"691",0.805065686771751
"692",0.798441224603998
"693",0.813570916180653
"694",0.842150560520602
"695",0.855067107790467
"696",0.870674546777515
"697",0.884537337144341
"698",0.865990651145144
"699",0.871606048588902
"700",0.910082708432908
"701",0.931146719454715
"702",0.929763976751839
"703",0.90852675181384
"704",0.901591041787754
"705",0.920814365992686
"706",0.940214225477643
"707",0.989420224827115
"708",1.0046005615662
"709",0.98696417284144
"710",0.972300263777521
"711",0.978125371025957
