time,lon,lat,alt
59.5,9.378275228,47.76695235,578.7354547
60.0,9.375979097,47.76566597,578.9833109
61.5,9.3682898,47.76123875,570.6120029
62.0,9.365313508,47.75952476,568.4955651
62.5,9.362735242,47.75811896,565.9426105
63.0,9.360263623,47.75690551,563.1486037
65.5,9.346533387,47.75016257,528.3779045
66.0,9.343375947,47.74861146,518.6159312
67.0,9.338205516,47.74607108,503.4497206
67.5,9.336100808,47.74503685,488.4988527
69.0,9.325310364,47.73749962,443.765597
69.5,9.323675737,47.7360709,439.4695818
70.0,9.320453085,47.73319873,442.6338712
70.5,9.317236971,47.72982338,448.6932894
71.0,9.314692229,47.72696268,452.3606087
71.5,9.312656503,47.7246739,459.0353148
72.0,9.310625178,47.72255415,464.6279477
72.5,9.309232751,47.72125262,472.2628747
73.0,9.307130249,47.72042096,474.1309345
73.5,9.304984935,47.72081333,470.3854378
74.0,9.300802711,47.7217653,461.98304
74.5,9.297640287,47.72248501,465.5927583
75.5,9.290340825,47.72414583,433.6776905
76.0,9.287212477,47.72485744,436.988551
76.5,9.283736353,47.72564803,437.5431492
77.0,9.281705358,47.72556593,438.0085434
77.5,9.279955229,47.72381668,453.0673904
79.0,9.276455079,47.72031785,495.9512994
79.5,9.275455172,47.71931822,505.5085278
80.0,9.264699185,47.72295371,522.5772665
80.5,9.26068864,47.7254308,520.9300842
81.0,9.253149677,47.73145777,508.0906514
81.5,9.249995792,47.72950277,497.9245451
82.0,9.248007866,47.72790298,490.8048741
82.5,9.246020014,47.72630311,477.7371064
83.0,9.243535307,47.72430318,469.8662105
83.5,9.241547838,47.72270334,460.8045085
84.5,9.236827804,47.71890332,447.0074521
85.0,9.232587933,47.7176937,429.1297879
85.5,9.230083114,47.7173488,417.9752247
86.0,9.226034082,47.71667571,410.1536653
86.5,9.224720378,47.71345034,403.0542218
87.0,9.224497206,47.71173142,402.0674769
87.5,9.223976559,47.70772081,401.3847863
88.0,9.223690598,47.70557591,400.0655576
89.0,9.223326774,47.70353929,405.1532476
89.5,9.223218881,47.70296191,405.5241007
90.0,9.222857185,47.70189702,406.1269048
90.5,9.220071686,47.70115318,414.1059094
91.0,9.217678166,47.70052821,417.9508105
91.5,9.21630015,47.70016836,419.8408704
92.0,9.213108887,47.69933495,428.4858033
92.5,9.211695029,47.69872094,429.0158922
93.5,9.206651531,47.69598351,426.4235138
94.0,9.201794021,47.69333008,431.3379124
94.5,9.199972787,47.69233511,441.6780521
95.0,9.19891962,47.68937511,456.7996602
96.0,9.19866937,47.68371037,455.5722729
96.5,9.198532147,47.68060364,444.2329523
97.0,9.198398982,47.67758843,440.4101088
97.5,9.198350557,47.67649187,438.3681506
98.0,9.198156893,47.67210598,434.1057076
98.5,9.198084279,47.67046129,431.3778377
99.0,9.1990286,47.66783452,433.3576251
99.5,9.201110913,47.66639435,438.2033492
101.0,9.210931937,47.65929995,433.5339534
101.5,9.213146554,47.65756579,422.1041475
102.0,9.21634482,47.65506108,412.0529088
102.5,9.217457256,47.65382515,398.5809872
103.0,9.216405259,47.6525822,390.1142441
103.5,9.215705464,47.65198381,390.385743
104.0,9.214189346,47.65068733,394.8668554
104.5,9.212964839,47.64964015,399.9745871
